2026-05-02 16:25:22 [info     ] redis_connected                url=redis://localhost:6379/0
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=8fe7bf5b-7152-499f-99b5-45bf3d158ade
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=e514720a-8f91-42fa-9d19-16ed2559628b
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=5a3ba6cc-0e34-4b53-b898-9b1b603c7640
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=f8a894e4-0b21-4d40-8ae4-f843a3168989
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=9559f393-a13c-4ad2-8fd5-cc18ac74cc7f
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=e2f71361-4a4c-47e0-8f74-9018d07dbb4f
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=eb011cd9-9d8a-48ff-b3e8-d076a00b729e
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=f854dd16-17a1-4012-9201-5d87f36bf8b1
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=51a67a15-0b65-44ef-9278-7d4fba14ee8c
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=e1f85240-4c56-4002-ba2a-0eb72bded1ce
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=6909c6c7-fe84-4732-a841-75f0b141e33d
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=7a28ed7f-42e8-43bb-9858-72dbb5892e1d
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=3a99e6a8-a9a8-420c-bd6b-f6ae43580f88
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=e168f7a6-8934-4422-ab38-4812f69370dd
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=9f1bd382-1aa3-4a02-a730-544cd045094d
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=1d8d0599-e92a-4caa-b85f-25e235e938b5
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=a92dd358-199d-4987-ba96-b070e6cb859e
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=3a74170f-a32c-4080-8053-c39b8697931a
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=1fb9cf00-efc1-4240-9c52-d34fcfc7f583
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=4ba18086-cf95-4b51-b58f-7ae7bb7ae833
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=8a851d08-5066-4e18-a30f-f88c7a5ac815
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=4073d395-f764-4220-93c0-8ef9655013f5
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=63ff924e-2c8e-407c-bb5c-d7bdb9e3fd31
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=a325fa2b-6bd0-47db-b2d1-a66bc6345141
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=b3b771d3-1e16-40d1-bbfd-0a7840615314
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=2f44f1b3-78e1-4321-9319-8db9f7931087
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=fca7dc8a-fa63-44e2-aca0-97fcce4b6000
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=e86e324b-1ea6-423b-bb3b-5a862fa5c0a0
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=87e8fb53-8a13-48c8-8a4a-f6af4854040b
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=7f257f45-dc0a-4fa4-adeb-a551fce3b249
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=f23fa063-6c38-46af-9571-ce6aae3bd804
2026-05-02 16:25:24 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=1cbc55c4-08be-43fd-bcb0-6e36a5890428
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=5345a11a-131b-4545-8e34-272805763162
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=b04f70e6-4fa7-4c26-b35b-ae3be7996164
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=7258ccf7-56c3-4fe3-a2b5-dfa13d654c13
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=65c5bde7-2091-428f-9e60-452ff4852de9
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=05bd68ed-596e-47ea-880a-99924f84176c
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=fd11ffe5-a304-4e9e-9c87-0f96a9219043
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=6806101b-bd8b-4c9e-aeff-dae2c2cd1dd3
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=ffc1c03b-9822-42c7-968a-22bed03434b1
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=3477d28a-3ca0-47da-88fc-565429e122bb
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=2088be2b-d79c-45aa-9753-637d111321ec
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=1c0eae26-cb0e-4e41-850b-a3034b00452d
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=ba3b0a91-554b-48a0-8548-1188d128cc2b
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=165e3008-53bf-43bb-8b77-a6f3c5aa02b8
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=bdefe535-630f-4f46-bd0e-0e775f02cf57
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=716caa89-904e-4449-8427-306c02ee09cd
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=ffd38788-4d34-4d60-bc53-3838b3439dbf
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=ea15857b-1093-47e4-93b4-d93714410fab
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=c9ef904f-49c5-4d72-9394-10c4e4cb5d76
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=bffd364a-7bd4-437c-b3f4-17442eb9118a
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=162a03d0-57e6-481b-9672-f4617b0ff1be
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=0045935b-0861-4470-9566-aefdeb28e8bc
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=c0f522cd-28fb-49d9-806b-9e331d2ab2b7
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=7bbbb421-e84d-4642-884c-97810fd57261
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=47d29f73-dc04-42a7-8252-ac6b89072bba
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=d875c64a-8bb9-4b4d-8e10-6c169578fd66
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=4b9b754a-aa71-4f91-9383-01f4ab959451
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=44700207-b8ae-4f06-b66d-bfa3b93dbc2b
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=7093b582-6b6c-4f21-87fb-eba22635b829
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=600188d9-5ed7-418b-80f1-d73340ad236d
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=9e81402e-85bc-4825-a18f-d0472706bd9c
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=33c529d6-4386-4c99-aefa-6da361c87897
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=fd0a63b8-551a-4db3-8d85-63770f404201
2026-05-02 16:25:25 [info     ] gateway_request                method=GET path=/api/v1/flights target=http://localhost:8002/api/v1/flights trace_id=c774cb4f-04d7-4128-b02d-fb1daa593611
