Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/flights (all),2272,473,12000,13943.79080678475,268.26633303426206,46292.23970801104,8315.007042253521,4.748492817759741,0.988572668486073,12000,13000,15000,29000,29000,29000,29000,30000,37000,46000,46000
GET,/api/v1/flights (seed lookup),1160,222,12000,13862.165840249316,250.27370802126825,48743.27004200313,47.78534482758621,2.424406544278741,0.4639812524395522,12000,13000,15000,26000,29000,29000,29000,29000,37000,49000,49000
GET,/api/v1/flights?origin&destination,5818,1210,12000,13947.725332152126,240.90533307753503,54782.850999967195,2791.334994843589,12.159652822942858,2.528906826359721,12000,13000,15000,29000,29000,29000,29000,29000,40000,55000,55000
GET,/api/v1/flights?origin&destination&date,3352,729,12000,14155.071488823094,233.66862500552088,48737.8420419991,284.34606205250594,7.005698910708914,1.5236141127406917,12000,13000,15000,29000,29000,29000,29000,29000,39000,49000,49000
GET,/api/v1/flights?origin&destination&max_price,2277,467,11000,13967.996493964962,246.95066700223833,43454.42970795557,2739.838383838384,4.758942845967839,0.9760326346363553,11000,13000,15000,28000,29000,29000,29000,29000,37000,43000,43000
GET,/health (gateway),1163,0,440,477.04487018505796,220.2598749427125,26077.453542035073,455.0,2.4306765612036,0.0,440,460,470,490,540,730,1200,1700,7800,26000,26000
,Aggregated,16042,3101,11000,13010.597300927757,220.2598749427125,54782.850999967195,2674.730021194365,33.527870502861695,6.481107494662393,11000,13000,14000,23000,29000,29000,29000,29000,38000,49000,55000
