Method,Name,Error,Occurrences
GET,/api/v1/flights?origin&destination&max_price,HTTPError('502 Server Error: Bad Gateway for url: /api/v1/flights?origin&destination&max_price'),2
GET,/api/v1/flights?origin&destination,HTTPError('502 Server Error: Bad Gateway for url: /api/v1/flights?origin&destination'),7
GET,/api/v1/flights (seed lookup),HTTPError('502 Server Error: Bad Gateway for url: /api/v1/flights (seed lookup)'),2
GET,/api/v1/flights?origin&destination&date,HTTPError('502 Server Error: Bad Gateway for url: /api/v1/flights?origin&destination&date'),3
