Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/flights (all),765,106,13000,14639.196884461968,754.686165950261,48435.275416006334,9043.244444444445,4.283582739425099,0.5935421835020398,13000,15000,16000,17000,29000,29000,30000,34000,48000,48000,48000
GET,/api/v1/flights (seed lookup),391,47,13000,13526.159469955875,553.6970829125494,44862.02775000129,49.97442455242967,2.189386733483939,0.2631743643829799,13000,14000,15000,16000,29000,29000,30000,34000,45000,45000,45000
GET,/api/v1/flights?origin&destination,1986,263,13000,13943.387951373727,246.12058303318918,51045.961374999024,3056.380664652568,11.120516758821237,1.4726565496324195,13000,14000,16000,16000,29000,29000,30000,32000,47000,51000,51000
GET,/api/v1/flights?origin&destination&date,1156,162,13000,14464.51611200447,341.4437499595806,48687.78325000312,304.41782006920414,6.472969472909038,0.9071116389370797,13000,15000,16000,17000,29000,29000,30000,34000,45000,49000,49000
GET,/api/v1/flights?origin&destination&max_price,796,92,13000,13834.735978391365,293.5265830019489,58820.5836659763,2913.6557788944724,4.457165830826638,0.5151498196432799,13000,14000,15000,16000,29000,29000,29000,33000,59000,59000,59000
GET,/health (gateway),421,0,440,835.0280679310529,236.67520890012383,16952.40204106085,455.0,2.3573703703241393,0.0,440,470,510,590,1100,2600,7700,12000,17000,17000,17000
,Aggregated,5515,670,12000,13103.220257782417,236.67520890012383,58820.5836659763,2877.665639165911,30.88099190579009,3.751634556097799,12000,14000,15000,16000,29000,29000,30000,32000,47000,59000,59000
