Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/flights (all),31,0,290,469.629647803583,260.9643330797553,4147.585041006096,10492.0,0.5405308338613022,0.0,290,320,410,470,530,740,4100,4100,4100,4100,4100
GET,/api/v1/flights (seed lookup),15,0,290,1387.6700611319393,270.14704199973494,16349.7208339395,51.0,0.26154717767482366,0.0,290,310,340,460,500,16000,16000,16000,16000,16000,16000
GET,/api/v1/flights?origin&destination,101,0,330,410.3197859252093,260.7842499855906,4510.26087498758,2951.079207920792,1.761084329677146,0.0,330,420,460,460,510,540,590,620,4500,4500,4500
GET,/api/v1/flights?origin&destination&date,62,0,310,540.7056296338147,258.4642500150949,4519.189250073396,369.96774193548384,1.0810616677226044,0.0,310,370,450,460,490,560,4500,4500,4500,4500,4500
GET,/api/v1/flights?origin&destination&max_price,24,0,320,701.6371770247739,264.2107920255512,4531.911832978949,3533.3333333333335,0.4184754842797178,0.0,320,420,480,520,610,4200,4500,4500,4500,4500,4500
GET,/health (gateway),24,0,450,721.5667395842805,241.5779170114547,4314.802583074197,455.0,0.4184754842797178,0.0,450,470,490,490,510,4000,4300,4300,4300,4300,4300
,Aggregated,257,0,320,562.2432350710121,241.5779170114547,16349.7208339395,2890.0155642023346,4.481174977495312,0.0,320,420,460,470,530,620,4300,4500,16000,16000,16000
