Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/flights (all),2063,0,1000,1787.1862170693337,242.60158301331103,5569.378333049826,10492.0,4.91786556809952,0.0,1000,2600,3300,3500,4100,4500,4800,5000,5500,5600,5600
GET,/api/v1/flights (seed lookup),959,2,930,1699.7324899109701,235.66666699480265,5362.23466694355,51.14807090719499,2.2861042558446147,0.0047676835366936695,930,2400,3200,3400,4000,4400,4700,4900,5400,5400,5400
GET,/api/v1/flights?origin&destination,5112,7,1000,1771.2610081130995,236.02495796512812,5445.918875047937,3472.639671361502,12.18619911978902,0.016686892378427843,1000,2700,3300,3500,4000,4400,4800,4900,5300,5400,5400
GET,/api/v1/flights?origin&destination&date,2931,3,1000,1776.533128697354,235.86904106196016,5418.0641249986365,338.7724326168543,6.987040223024573,0.007151525305040505,1000,2700,3300,3500,4100,4500,4800,4900,5300,5400,5400
GET,/api/v1/flights?origin&destination&max_price,2075,2,1100,1818.79430949284,236.7418750654906,5350.167708937079,3431.677108433735,4.946471669319682,0.0047676835366936695,1100,2800,3400,3600,4100,4400,4700,4900,5300,5400,5400
GET,/health (gateway),1016,0,430,408.44472092619867,222.52774995286018,2723.356624948792,455.0,2.421983236640384,0.0,430,460,480,500,560,610,720,920,1400,2700,2700
,Aggregated,14156,14,870,1678.983577704397,222.52774995286018,5569.378333049826,3392.351864933597,33.745664072717794,0.033373784756855686,870,2200,3200,3500,4000,4400,4700,4900,5300,5600,5600
