Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,173,76,28000,25241.91104068496,4377.6342500932515,29528.554040938616,387.35838150289015,0.9677070295370933,0.42511985112612194,28000,29000,29000,29000,29000,29000,29000,30000,30000,30000,30000
POST,/api/v1/auth/register,200,27,21000,20499.897280258592,2268.47904198803,30035.67637503147,186.97,1.1187364503318997,0.15102942079480647,21000,26000,27000,29000,30000,30000,30000,30000,30000,30000,30000
GET,/api/v1/auth/validate,421,421,260,305.82944465875227,226.8909589620307,1438.5251250350848,26.0,2.3549402279486493,2.3549402279486493,260,280,300,320,420,570,780,980,1400,1400,1400
POST,/api/v1/bookings (create),1151,1151,260,297.59023322585847,227.07983304280788,1453.1179580371827,26.0,6.438328271660083,6.438328271660083,260,280,300,310,370,460,740,1100,1400,1500,1500
GET,/api/v1/bookings (list),805,805,260,293.3118386191218,226.47025005426258,1346.4026250876486,26.0,4.502914212585897,4.502914212585897,260,280,290,300,360,470,730,1000,1300,1300,1300
GET,/api/v1/flights (booking search),3242,3,890,1068.9306217622798,251.02795904967934,3573.6836249707267,3507.925663170882,18.134717859880098,0.016781046754978497,890,1200,1500,1600,2000,2400,3000,3100,3500,3600,3600
GET,/api/v1/flights (booking seed),200,0,570,879.7751005733153,261.9772090110928,3290.1401249691844,10492.0,1.1187364503318997,0.0,570,810,1100,1300,2100,2700,3200,3200,3300,3300,3300
,Aggregated,6192,2483,500,2069.711683897104,226.47025005426258,30035.67637503147,2202.406976744186,34.63608050227562,13.889113030870536,500,880,1200,1400,2200,14000,29000,29000,30000,30000,30000
